waveform	ACC1_X	ACC1_Y	ACC2_X
t0	12/22/2016  16:29:28.870620	12/22/2016  16:29:28.870641	12/22/2016  16:29:28.870662
delta t	0.010000	0.010000	0.010000

time	ACC1_X	ACC1_Y	ACC2_X
12/22/2016  16:29:29.530620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.540620	1.650661E+0	1.294138E+0	1.579332E+0
12/22/2016  16:29:29.550620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.560620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.570620	1.640469E+0	1.294138E+0	1.579332E+0
12/22/2016  16:29:29.580620	1.640469E+0	1.294138E+0	1.579332E+0
12/22/2016  16:29:29.590620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.600620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.610620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.620620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.630620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.640620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.650620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.660620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.670620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.680620	1.640469E+0	1.304330E+0	1.589523E+0
12/22/2016  16:29:29.690620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.700620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.710620	1.640469E+0	1.294138E+0	1.579332E+0
12/22/2016  16:29:29.720620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.730620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.740620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.750620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.760620	1.650661E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.770620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.780620	1.640469E+0	1.294138E+0	1.579332E+0
12/22/2016  16:29:29.790620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.800620	1.640469E+0	1.294138E+0	1.579332E+0
12/22/2016  16:29:29.810620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.820620	1.640469E+0	1.294138E+0	1.579332E+0
12/22/2016  16:29:29.830620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.840620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.850620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.860620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.870620	1.640469E+0	1.294138E+0	1.579332E+0
12/22/2016  16:29:29.880620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.890620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.900620	1.640469E+0	1.304330E+0	1.589523E+0
12/22/2016  16:29:29.910620	1.640469E+0	1.294138E+0	1.579332E+0
12/22/2016  16:29:29.920620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.930620	1.640469E+0	1.304330E+0	1.589523E+0
12/22/2016  16:29:29.940620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.950620	1.640469E+0	1.304330E+0	1.579332E+0
