waveform	ACC2_X	[1]
t0	12/20/2016  22:06:08.993040	1/1/1904  01:00:00.000000
delta t	0.001000	1.000000

time	ACC2_X	Y[1]
12/20/2016  22:06:09.101040	1.406069E+0	
12/20/2016  22:06:09.102040	1.406069E+0	
12/20/2016  22:06:09.103040	1.406069E+0	
12/20/2016  22:06:09.104040	1.406069E+0	
12/20/2016  22:06:09.105040	1.406069E+0	
12/20/2016  22:06:09.106040	1.406069E+0	
12/20/2016  22:06:09.107040	1.406069E+0	
12/20/2016  22:06:09.108040	1.406069E+0	
12/20/2016  22:06:09.109040	1.406069E+0	
12/20/2016  22:06:09.110040	1.406069E+0	
12/20/2016  22:06:09.111040	1.406069E+0	
12/20/2016  22:06:09.112040	1.406069E+0	
12/20/2016  22:06:09.113040	1.406069E+0	
12/20/2016  22:06:09.114040	1.406069E+0	
12/20/2016  22:06:09.115040	1.406069E+0	
12/20/2016  22:06:09.116040	1.406069E+0	
12/20/2016  22:06:09.117040	1.406069E+0	
12/20/2016  22:06:09.118040	1.406069E+0	
12/20/2016  22:06:09.119040	1.406069E+0	
12/20/2016  22:06:09.120040	1.406069E+0	
12/20/2016  22:06:09.121040	1.406069E+0	
12/20/2016  22:06:09.122040	1.406069E+0	
12/20/2016  22:06:09.123040	1.406069E+0	
12/20/2016  22:06:09.124040	1.406069E+0	
12/20/2016  22:06:09.125040	1.406069E+0	
12/20/2016  22:06:09.126040	1.406069E+0	
12/20/2016  22:06:09.127040	1.406069E+0	
12/20/2016  22:06:09.128040	1.406069E+0	
12/20/2016  22:06:09.129040	1.406069E+0	
12/20/2016  22:06:09.130040	1.406069E+0	
12/20/2016  22:06:09.131040	1.406069E+0	
12/20/2016  22:06:09.132040	1.406069E+0	
12/20/2016  22:06:09.133040	1.406069E+0	
12/20/2016  22:06:09.134040	1.406069E+0	
12/20/2016  22:06:09.135040	1.406069E+0	
12/20/2016  22:06:09.136040	1.406069E+0	
12/20/2016  22:06:09.137040	1.406069E+0	
12/20/2016  22:06:09.138040	1.406069E+0	
12/20/2016  22:06:09.139040	1.406069E+0	
12/20/2016  22:06:09.140040	1.406069E+0	
12/20/2016  22:06:09.141040	1.406069E+0	
12/20/2016  22:06:09.142040	1.406069E+0	
12/20/2016  22:06:09.143040	1.406069E+0	
12/20/2016  22:06:09.144040	1.406069E+0	
12/20/2016  22:06:09.145040	1.406069E+0	
12/20/2016  22:06:09.146040	1.406069E+0	
12/20/2016  22:06:09.147040	1.406069E+0	
12/20/2016  22:06:09.148040	1.406069E+0	
12/20/2016  22:06:09.149040	1.406069E+0	
12/20/2016  22:06:09.150040	1.406069E+0	
12/20/2016  22:06:09.151040	1.406069E+0	
12/20/2016  22:06:09.152040	1.406069E+0	
12/20/2016  22:06:09.153040	1.406069E+0	
12/20/2016  22:06:09.154040	1.406069E+0	
12/20/2016  22:06:09.155040	1.406069E+0	
12/20/2016  22:06:09.156040	1.406069E+0	
12/20/2016  22:06:09.157040	1.406069E+0	
12/20/2016  22:06:09.158040	1.406069E+0	
12/20/2016  22:06:09.159040	1.406069E+0	
12/20/2016  22:06:09.160040	1.406069E+0	
12/20/2016  22:06:09.161040	1.406069E+0	
12/20/2016  22:06:09.162040	1.406069E+0	
12/20/2016  22:06:09.163040	1.406069E+0	
12/20/2016  22:06:09.164040	1.406069E+0	
12/20/2016  22:06:09.165040	1.406069E+0	
12/20/2016  22:06:09.166040	1.406069E+0	
12/20/2016  22:06:09.167040	1.406069E+0	
12/20/2016  22:06:09.168040	1.406069E+0	
12/20/2016  22:06:09.169040	1.406069E+0	
12/20/2016  22:06:09.170040	1.406069E+0	
12/20/2016  22:06:09.171040	1.406069E+0	
12/20/2016  22:06:09.172040	1.406069E+0	
12/20/2016  22:06:09.173040	1.406069E+0	
12/20/2016  22:06:09.174040	1.406069E+0	
12/20/2016  22:06:09.175040	1.406069E+0	
12/20/2016  22:06:09.176040	1.406069E+0	
12/20/2016  22:06:09.177040	1.406069E+0	
12/20/2016  22:06:09.178040	1.406069E+0	
12/20/2016  22:06:09.179040	1.406069E+0	
12/20/2016  22:06:09.180040	1.406069E+0	
12/20/2016  22:06:09.181040	1.406069E+0	
12/20/2016  22:06:09.182040	1.406069E+0	
12/20/2016  22:06:09.183040	1.406069E+0	
12/20/2016  22:06:09.184040	1.406069E+0	
12/20/2016  22:06:09.185040	1.406069E+0	
12/20/2016  22:06:09.186040	1.406069E+0	
12/20/2016  22:06:09.187040	1.406069E+0	
12/20/2016  22:06:09.188040	1.406069E+0	
12/20/2016  22:06:09.189040	1.406069E+0	
12/20/2016  22:06:09.190040	1.406069E+0	
12/20/2016  22:06:09.191040	1.406069E+0	
12/20/2016  22:06:09.192040	1.406069E+0	
12/20/2016  22:06:09.193040	1.406069E+0	
12/20/2016  22:06:09.194040	1.406069E+0	
12/20/2016  22:06:09.195040	1.406069E+0	
12/20/2016  22:06:09.196040	1.406069E+0	
12/20/2016  22:06:09.197040	1.406069E+0	
12/20/2016  22:06:09.198040	1.406069E+0	
12/20/2016  22:06:09.199040	1.406069E+0	
12/20/2016  22:06:09.200040	1.406069E+0	
12/20/2016  22:06:09.201040	1.406069E+0	
12/20/2016  22:06:09.202040	1.406069E+0	
12/20/2016  22:06:09.203040	1.406069E+0	
12/20/2016  22:06:09.204040	1.406069E+0	
12/20/2016  22:06:09.205040	1.406069E+0	
12/20/2016  22:06:09.206040	1.406069E+0	
12/20/2016  22:06:09.207040	1.406069E+0	
12/20/2016  22:06:09.208040	1.406069E+0	
12/20/2016  22:06:09.209040	1.406069E+0	
12/20/2016  22:06:09.210040	1.406069E+0	
12/20/2016  22:06:09.211040	1.406069E+0	
12/20/2016  22:06:09.212040	1.406069E+0	
12/20/2016  22:06:09.213040	1.406069E+0	
12/20/2016  22:06:09.214040	1.406069E+0	
12/20/2016  22:06:09.215040	1.406069E+0	
12/20/2016  22:06:09.216040	1.406069E+0	
12/20/2016  22:06:09.217040	1.406069E+0	
12/20/2016  22:06:09.218040	1.406069E+0	
12/20/2016  22:06:09.219040	1.406069E+0	
12/20/2016  22:06:09.220040	1.406069E+0	
12/20/2016  22:06:09.221040	1.406069E+0	
12/20/2016  22:06:09.222040	1.406069E+0	
12/20/2016  22:06:09.223040	1.406069E+0	
12/20/2016  22:06:09.224040	1.406069E+0	
12/20/2016  22:06:09.225040	1.406069E+0	
12/20/2016  22:06:09.226040	1.406069E+0	
12/20/2016  22:06:09.227040	1.406069E+0	
12/20/2016  22:06:09.228040	1.406069E+0	
12/20/2016  22:06:09.229040	1.406069E+0	
12/20/2016  22:06:09.230040	1.406069E+0	
12/20/2016  22:06:09.231040	1.406069E+0	
12/20/2016  22:06:09.232040	1.406069E+0	
12/20/2016  22:06:09.233040	1.406069E+0	
12/20/2016  22:06:09.234040	1.406069E+0	
12/20/2016  22:06:09.235040	1.406069E+0	
12/20/2016  22:06:09.236040	1.406069E+0	
12/20/2016  22:06:09.237040	1.406069E+0	
12/20/2016  22:06:09.238040	1.406069E+0	
12/20/2016  22:06:09.239040	1.406069E+0	
12/20/2016  22:06:09.240040	1.406069E+0	
12/20/2016  22:06:09.241040	1.406069E+0	
12/20/2016  22:06:09.242040	1.406069E+0	
12/20/2016  22:06:09.243040	1.406069E+0	
12/20/2016  22:06:09.244040	1.406069E+0	
12/20/2016  22:06:09.245040	1.406069E+0	
12/20/2016  22:06:09.246040	1.406069E+0	
12/20/2016  22:06:09.247040	1.406069E+0	
12/20/2016  22:06:09.248040	1.406069E+0	
12/20/2016  22:06:09.249040	1.406069E+0	
12/20/2016  22:06:09.250040	1.406069E+0	
12/20/2016  22:06:09.251040	1.406069E+0	
12/20/2016  22:06:09.252040	1.406069E+0	
12/20/2016  22:06:09.253040	1.406069E+0	
